Site;SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-12 12:00:00;19;76.0;40.5;50.9
2023-01-12 13:00:00;14;75.8;38.2;47.7
2023-01-12 14:00:00;18;75.2;35.1;46.9
2023-01-12 15:00:00;15;76.0;42.7;50.4
2023-01-12 16:00:00;16;75.0;34.0;46.2
2023-01-12 17:00:00;20;76.0;43.1;51.4
2023-01-12 18:00:00;18;75.0;35.0;46.9
2023-01-12 19:00:00;21;76.0;42.7;51.5
2023-01-12 20:00:00;20;75.0;34.8;47.6
2023-01-12 21:00:00;18;75.9;41.7;50.0
2023-01-12 22:00:00;19;75.0;32.7;45.6
2023-01-12 23:00:00;21;75.2;36.5;48.1
2023-01-13 00:00:00;19;75.5;38.6;48.7
2023-01-13 01:00:00;20;75.0;34.0;47.0
2023-01-13 02:00:00;22;76.0;42.7;51.5
2023-01-13 03:00:00;21;75.0;33.5;46.7
2023-01-13 04:00:00;20;74.4;34.0;46.5
2023-01-13 05:00:00;22;75.9;42.6;51.2
2023-01-13 06:00:00;21;75.0;33.7;47.4
2023-01-13 07:00:00;19;75.3;36.0;48.6
2023-01-13 08:00:00;19;75.9;43.2;52.0
2023-01-13 09:00:00;16;75.0;34.6;45.8
2023-01-13 10:00:00;18;75.0;34.3;46.7
2023-01-13 11:00:00;19;76.0;42.9;51.1
2023-01-13 12:00:00;15;75.0;34.0;45.7
2023-01-13 13:00:00;17;75.9;43.8;50.8
2023-01-13 14:00:00;14;75.0;32.1;43.5
2023-01-13 15:00:00;15;75.7;44.2;49.8
2023-01-13 16:00:00;14;74.4;32.0;43.1
2023-01-13 17:00:00;18;75.0;39.6;48.9
2023-01-13 18:00:00;14;75.0;35.5;44.9
2023-01-13 19:00:00;20;74.9;39.5;49.2
2023-01-13 20:00:00;16;74.8;36.4;46.2
2023-01-13 21:00:00;17;74.6;33.5;44.7
2023-01-13 22:00:00;14;74.9;39.5;47.2
2023-01-13 23:00:00;14;74.0;31.0;42.6
2023-01-14 00:00:00;17;74.8;41.1;48.1
2023-01-14 01:00:00;16;73.7;31.0;42.4
2023-01-14 02:00:00;20;74.9;41.2;49.5
2023-01-14 03:00:00;19;74.0;32.5;45.2
2023-01-14 04:00:00;20;74.0;32.8;45.8
2023-01-14 05:00:00;22;75.4;42.4;51.1
2023-01-14 06:00:00;24;75.0;34.3;48.8
2023-01-14 07:00:00;21;75.0;36.8;50.6
2023-01-14 08:00:00;24;76.3;44.1;53.9
2023-01-14 09:00:00;20;75.0;36.9;49.8
2023-01-14 10:00:00;18;75.0;36.0;48.5
2023-01-14 11:00:00;20;76.0;43.0;51.9
2023-01-14 12:00:00;15;75.0;34.5;45.2
2023-01-14 13:00:00;14;75.0;33.2;44.6
2023-01-14 14:00:00;19;75.5;40.0;49.5
2023-01-14 15:00:00;13;75.1;36.0;44.8
2023-01-14 16:00:00;15;74.9;33.0;44.4
2023-01-14 17:00:00;21;75.2;37.8;48.4
2023-01-14 18:00:00;15;75.3;39.0;47.7
2023-01-14 19:00:00;17;74.5;33.5;45.8
2023-01-14 20:00:00;22;75.0;38.3;49.1
2023-01-14 21:00:00;10;74.7;38.1;44.7
2023-01-14 22:00:00;14;74.0;30.2;41.7
2023-01-14 23:00:00;18;74.4;35.7;45.9
2023-01-15 00:00:00;13;74.6;37.6;45.0
2023-01-15 01:00:00;14;74.0;31.0;42.2
2023-01-15 02:00:00;20;74.1;33.0;44.4
2023-01-15 03:00:00;13;74.9;39.2;46.8
2023-01-15 04:00:00;16;74.0;31.0;42.8
2023-01-15 05:00:00;19;74.0;31.6;43.4
2023-01-15 06:00:00;18;75.1;41.5;49.9
2023-01-15 07:00:00;18;74.7;34.6;46.6
2023-01-15 08:00:00;17;74.6;34.5;46.3
2023-01-15 09:00:00;16;75.1;43.2;50.7
2023-01-15 10:00:00;14;74.8;33.4;44.5
2023-01-15 11:00:00;17;74.2;33.3;45.3
2023-01-15 12:00:00;20;75.4;42.7;51.2
2023-01-15 13:00:00;19;75.0;34.9;47.5
2023-01-15 14:00:00;19;75.0;35.5;48.3
2023-01-15 15:00:00;22;75.8;43.6;52.8
2023-01-15 16:00:00;21;75.0;35.9;49.1
2023-01-15 17:00:00;20;75.0;36.0;49.2
2023-01-15 18:00:00;24;75.8;43.7;53.5
2023-01-15 19:00:00;24;75.3;36.2;50.8
2023-01-15 20:00:00;24;75.7;37.0;51.6
2023-01-15 21:00:00;26;76.0;43.1;53.1
2023-01-15 22:00:00;25;76.0;35.7;50.4
2023-01-15 23:00:00;25;76.0;36.0;50.7
2023-01-16 00:00:00;29;76.6;43.1;54.4
2023-01-16 01:00:00;25;76.0;36.0;51.0
2023-01-16 02:00:00;26;76.0;36.0;51.4
2023-01-16 03:00:00;28;76.7;42.7;54.3
2023-01-16 04:00:00;25;76.0;36.0;50.5
2023-01-16 05:00:00;26;76.0;36.1;51.3
2023-01-16 06:00:00;30;76.8;43.0;54.8
2023-01-16 07:00:00;22;76.3;38.8;53.0
2023-01-16 08:00:00;22;76.0;38.0;52.8
2023-01-16 09:00:00;26;76.6;42.7;54.3
2023-01-16 10:00:00;19;76.1;39.8;51.8
2023-01-16 11:00:00;20;75.9;37.7;50.9
2023-01-16 12:00:00;22;76.7;43.9;53.9
2023-01-16 13:00:00;21;76.1;37.8;51.3
2023-01-16 14:00:00;28;77.3;46.3;56.0
2023-01-16 15:00:00;19;75.9;37.8;51.2
2023-01-16 16:00:00;21;76.8;44.4;53.7
2023-01-16 17:00:00;20;75.9;37.2;50.7
2023-01-16 18:00:00;24;76.7;44.2;54.3
2023-01-16 19:00:00;22;76.0;36.6;50.6
2023-01-16 20:00:00;25;76.2;39.2;52.2
2023-01-16 21:00:00;19;76.2;40.2;50.6
2023-01-16 22:00:00;21;76.0;35.3;49.0
2023-01-16 23:00:00;23;76.6;42.8;52.6
2023-01-17 00:00:00;22;75.8;35.3;49.4
2023-01-17 01:00:00;23;76.6;43.2;52.7
2023-01-17 02:00:00;24;76.0;35.6;50.1
2023-01-17 03:00:00;24;76.0;36.0;50.3
2023-01-17 04:00:00;25;76.7;43.2;53.7
2023-01-17 05:00:00;25;76.0;36.6;51.2
2023-01-17 06:00:00;25;76.5;37.5;52.9
2023-01-17 07:00:00;24;77.0;45.0;55.9
2023-01-17 08:00:00;23;76.1;38.9;53.8
2023-01-17 09:00:00;23;76.3;38.9;53.6
2023-01-17 10:00:00;25;77.0;44.9;55.8
2023-01-17 11:00:00;22;76.6;38.7;53.0
2023-01-17 12:00:00;24;77.0;44.2;55.3
2023-01-17 13:00:00;21;76.3;38.5;52.3
2023-01-17 14:00:00;27;76.9;43.6;55.3
2023-01-17 15:00:00;21;76.3;40.0;53.5
2023-01-17 16:00:00;23;76.5;38.8;53.1
2023-01-17 17:00:00;24;77.0;44.2;55.4
2023-01-17 18:00:00;23;76.4;38.8;53.7
2023-01-17 19:00:00;30;77.3;44.3;56.1
2023-01-17 20:00:00;25;76.9;38.0;53.5
2023-01-17 21:00:00;24;77.4;43.7;53.9
2023-01-17 22:00:00;23;76.6;35.9;50.2
2023-01-17 23:00:00;28;76.7;38.8;52.2
2023-01-18 00:00:00;25;78.4;56.4;63.3
2023-01-18 01:00:00;24;76.3;35.9;50.7
2023-01-18 02:00:00;25;77.2;47.3;57.2
2023-01-18 03:00:00;24;76.0;36.0;50.7
2023-01-18 04:00:00;25;77.5;47.9;57.1
2023-01-18 05:00:00;24;76.1;35.8;50.4
