Site;SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-14 16:00:00;8;76.7;41.0;47.4
2023-01-14 17:00:00;29;79.2;47.4;62.3
2023-01-14 18:00:00;23;79.2;51.0;65.0
2023-01-14 19:00:00;23;79.3;51.2;65.0
2023-01-14 20:00:00;23;79.4;51.6;65.0
2023-01-14 21:00:00;23;79.2;51.1;65.1
2023-01-14 22:00:00;21;79.1;52.3;65.0
2023-01-14 23:00:00;2;70.2;33.3;46.8
2023-01-15 00:00:00;0;53.9;27.8;47.2
2023-01-15 01:00:00;0;49.3;26.2;43.8
2023-01-15 02:00:00;0;46.3;25.2;41.6
2023-01-15 03:00:00;2;44.2;24.7;39.9
2023-01-15 04:00:00;9;69.9;43.6;57.7
2023-01-15 05:00:00;0;58.8;34.8;54.9
2023-01-15 06:00:00;17;78.0;55.8;65.2
2023-01-15 07:00:00;18;76.7;35.0;49.2
2023-01-15 08:00:00;16;78.0;33.5;41.6
2023-01-15 09:00:00;25;79.0;45.2;58.0
2023-01-15 10:00:00;24;79.4;50.9;65.1
2023-01-15 11:00:00;21;79.1;52.3;65.0
2023-01-15 12:00:00;21;79.2;52.6;65.0
2023-01-15 13:00:00;20;79.2;53.0;65.0
2023-01-15 14:00:00;18;79.0;53.8;65.0
2023-01-15 15:00:00;21;79.1;52.2;64.9
2023-01-15 16:00:00;20;79.2;53.0;65.0
2023-01-15 17:00:00;20;79.2;53.0;65.0
2023-01-15 18:00:00;20;79.5;52.8;65.0
2023-01-15 19:00:00;26;79.8;49.6;65.0
2023-01-15 20:00:00;22;80.0;51.8;65.0
2023-01-15 21:00:00;24;80.0;50.3;64.9
2023-01-15 22:00:00;29;80.0;48.3;65.0
2023-01-15 23:00:00;1;69.1;39.5;48.3
2023-01-16 00:00:00;6;74.6;26.8;33.1
2023-01-16 01:00:00;6;73.1;27.0;33.2
2023-01-16 02:00:00;6;73.7;27.0;33.1
2023-01-16 03:00:00;6;74.0;27.0;33.1
2023-01-16 04:00:00;12;75.5;36.1;45.9
